"OMSTenantId","OrganizationName","Country","StorageTB","LicensesEnabled","LicensesAcquired","LicenseToEnabledRatio","SignalCount","ImpersonationRiskScore","RiskTier","IsBrandNamePattern","IsInstitutionNamePattern","IsFakeNameHint","PooledProvisioningPlausible","TriageLane"
"80240d8d-f568-4598-a877-cccfd40aea8c","THE EUROPEAN SCHOOL OF OSTEOPATHY","United Kingdom","1.138","0","3000336","?","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"3a876997-99ea-4996-a6f2-efae414efe4a","GAZI UNIVERSITY","T??rkiye","1.098","3","3005000","1001666.67","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"f766a49d-6235-42b0-836d-4a44a2b0ea60","DALLAS INSTITUTE OF FUNERAL SERVICE","United States","1.078","1","1500000","1500000","4","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"a5baa3f3-4b99-426d-85dc-0938b2d22e9a","NGHE AN COLLEGE OF ECONOMICS","Vietnam","1.073","6","4000000","666666.67","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"71a61955-8d30-498c-9d1c-f7c64572fd64","GO GOBAL SCHOOL","Cambodia","1.029","1","5000000","5000000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"38779543-c26c-4567-91b7-63a0aaec5a05","9 APPLE WEB","India","2.48","20","38","1.9","2","52","MEDIUM","True","False","False","False","Investigate-Next-Wave"
"10295aa7-c7f0-4c71-8c0c-6118fae9028c","FBI NAA","United States","1.395","39","41","1.05","2","52","MEDIUM","True","False","False","False","Investigate-Next-Wave"
"99f43444-f578-48db-b3b5-45a340a3a916","KOSCIUSKO SCHOOL DISTRICT","United States","20.716","15","4000000","266666.67","3","50","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"401f06a1-b01b-431b-a2ff-1799700c447c","CLOUD","China","6.164","20","500000","25000","2","49","MEDIUM","False","False","True","False","Investigate-Next-Wave"
"d4883870-9f49-4237-ac5d-29438ed31074","THE UNIVERSITY OF SHEFFIELD","United Kingdom","8.876","4","3015000","753750","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"50cf07d4-058a-4561-9e6c-58a1a0c9a3f1","CHRIST CHURCH COFE PRIMARY SCHOOL","United Kingdom","4.882","7","3000010","428572.86","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"f38c91b9-a4e0-4e94-9229-dcffb7fc46a3","THAMES PARK SECONDARY SCHOOL","United Kingdom","4.874","9","3000010","333334.44","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"e6d9c60a-2b5a-4d5a-be19-05b9a374aeb8","NGUYEN THAI HOC HIGH SCHOOL","Vietnam","4.304","3","4000000","1333333.33","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"c5ba5a9d-41fe-4085-93ee-240fe21c083f","SAM RIDGE ACADEMY","United States","4.105","7","3000000","428571.43","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"458dbc0b-17f0-4971-8f5c-37a17ac71b34","CHANG GUNG UNIVERSITY OF SCIENCE AND TECHNOLOGY","Taiwan","3.762","6","3000000","500000","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"6bfb38fb-17cb-4415-a5cc-6bcbd3f2d2f3","XIAOPING SCHOOL","Australia","3.318","9","1000005","111111.67","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"6b08b92c-f7cd-48a1-a187-1f3f18efb1d8","ADVENTIST EKAMAI SCHOOL","Thailand","2.874","6","71500000","11916666.67","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"cede342e-1264-4638-afc4-428e6ff0fa54","WATH C OF E PRIMARY SCHOOL","United Kingdom","1.69","6","1000060","166676.67","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"3c9eaf90-5b3e-4944-b994-67e01b704bf0","NATIONAL INSTITUTE OF VOCATIONAL STUDIES PTY LTD","Australia","1.55","8","3000003","375000.38","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"8d81589e-6a80-437d-96c3-ef1a8e1b7687","KARDINIA INTERNATIONAL COLLEGE","Australia","1.385","6","1000007","166667.83","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"fa8fa7f2-0976-49f5-bf76-495fe11f29d6","NAENGMUDWITTAYA SCHOOL","Thailand","1.366","7","2000000","285714.29","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"87950339-c1f1-4d2d-ace8-918eae5ffa09","LICEO MODERNO AMERICAN SCHOOL","Colombia","1.352","3","3005000","1001666.67","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"b4397f86-3016-4ccb-8ddd-2152dfd61cc0","WEST TN SCHOOL FOR THE DEAF","United States","1.174","1","2500000","2500000","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"ce30f981-dc94-4d87-875b-c4b40204fdd5","UMEI CHRISTIAN HIGH SCHOOL","Canada","1.057","7","3000000","428571.43","2","47","MEDIUM","False","True","False","False","Investigate-Next-Wave"
